,price
11008,200
19445,120
7965,120
35616,40
38275,72
39043,275
41584,999
28077,130
7510,89
38756,332
45557,50
9793,200
42498,25
5148,175
26814,100
28116,220
47953,40
17628,110
14034,165
28864,150
42573,125
4964,80
16189,42
29507,115
36524,79
45032,47
47392,97
45026,150
38485,97
18655,200
12514,120
25010,53
19003,250
38714,211
36352,50
21474,60
48537,275
6316,272
18950,55
38921,42
25812,180
35622,197
17272,200
9171,150
21170,28
6197,90
1277,90
27650,42
30217,100
3640,150
4860,375
22635,1475
2199,499
4448,249
45795,150
1637,125
5062,140
1764,60
6454,180
26730,96
32814,124
13188,76
43807,63
39425,95
37221,60
35507,90
14536,112
45851,248
11800,140
3587,224
37659,160
36256,89
26282,50
16888,65
10600,100
32290,299
9588,50
4617,175
41919,300
1020,175
43471,55
10950,125
37945,120
46979,90
31188,65
28421,143
14255,200
23952,70
2721,60
31939,110
42367,400
34651,160
2383,55
12660,50
17198,400
1025,200
20580,125
38336,50
33967,150
15635,150
6062,165
1856,120
22290,145
44372,500
34057,100
12925,250
12185,49
23165,195
43984,250
11758,50
19585,120
40828,85
9097,325
45764,150
30755,600
14783,180
11763,110
23762,77
34594,63
27524,67
28462,65
38014,345
7387,120
11690,90
24794,225
15350,350
875,99
6024,100
7088,995
33905,300
33517,150
32996,200
5257,125
13860,85
13467,800
3841,300
26929,50
46219,279
8044,190
8755,50
6647,50
46025,69
14808,190
14222,33
21501,90
30408,80
21146,50
3208,100
644,71
225,60
38600,150
27936,95
47437,290
45758,36
14184,55
41759,179
3005,200
6064,105
44623,38
6607,100
37681,60
18644,67
42203,199
10062,47
5398,150
34961,125
16212,140
1019,500
8848,130
46456,80
41738,51
18940,45
9693,115
5925,120
20275,80
41071,160
22621,150
32833,200
47896,105
2063,199
18743,129
5600,80
17379,45
37047,119
18204,180
44229,217
21360,34
41870,500
14010,60
4294,111
27843,48
34676,76
30544,65
36306,41
8255,325
3636,950
29830,89
11129,239
13008,229
47422,149
45352,130
39135,175
42767,85
34362,52
24562,79
18710,60
20663,55
18752,800
13555,125
3717,40
24732,124
15581,150
24684,100
47208,240
15255,265
29874,90
15143,67
33877,40
36164,50
42476,175
41634,155
10355,225
18331,229
4292,650
7301,99
25137,100
5615,200
45960,180
37066,119
33717,20
43321,62
45866,975
48729,75
35734,300
31839,120
39839,295
40910,50
13509,55
42277,69
46069,255
22528,148
11111,55
7575,150
4079,129
9671,70
43308,150
14907,112
26548,55
34489,60
32776,50
2086,179
4223,195
44025,50
1589,85
11220,90
14143,295
22887,94
13815,50
30401,250
36798,90
28208,225
24933,110
7861,150
40476,197
48358,55
40459,139
37913,225
48535,1749
20418,115
37860,65
46413,36
35364,110
46709,125
1830,35
10196,145
42596,45
42581,250
21251,120
17538,59
3271,69
15017,105
24812,250
4950,54
10971,80
28594,50
25960,120
32815,42
48037,180
9147,80
207,45
2787,69
47320,210
9137,140
14898,65
12524,65
36844,45
25886,239
23238,275
4515,50
14784,115
75,190
11670,98
28686,67
17005,109
40252,60
4227,97
17525,150
23240,70
39330,100
16502,50
45688,63
12231,90
40722,200
40976,60
5844,75
23189,399
47561,125
2484,595
18613,227
44900,65
26473,130
21535,140
7759,165
21287,75
39806,40
28814,35
16684,80
21526,85
2216,130
25424,219
30344,60
15121,100
13165,30
13771,83
17720,129
38391,65
26890,115
37459,38
649,135
37947,300
35768,70
41495,215
2133,88
16318,80
41797,87
2977,195
19841,25
21818,69
40530,65
29846,69
13530,150
12619,250
23670,349
1896,495
763,200
23913,55
23915,57
36417,64
9952,35
39404,575
29430,80
39041,97
41259,130
30945,37
35503,57
47757,190
29120,29
5244,150
22467,60
7808,80
5399,95
44228,74
42917,150
6120,135
16584,149
23345,259
19404,108
30094,120
21368,30
7798,275
31032,100
45084,250
14781,117
39092,51
26846,40
451,139
37321,200
3727,1000
32961,150
47792,299
13520,95
6345,95
22732,175
19739,160
7010,75
30872,300
30855,75
3049,700
34616,264
11547,275
27616,125
28822,400
27165,40
1741,210
26126,75
33957,45
17351,75
15063,50
9175,120
24011,70
2914,75
38375,41
43264,199
2239,159
40408,100
2232,120
25267,45
27164,200
39139,1350
32504,120
37352,100
44871,90
13717,65
39012,99
26248,113
6566,298
9590,99
38261,90
27840,105
48713,40
27609,54
43697,75
23896,150
45785,58
19987,300
3102,90
22952,90
2253,200
28752,225
35896,200
11014,195
26099,100
6219,108
32002,90
27872,70
35897,139
9715,360
16722,119
1476,139
42635,52
5410,84
42025,44
25842,180
11187,200
726,485
36802,500
47823,110
15220,65
4916,129
31319,130
36481,48
46893,25
42898,165
27791,21
9637,45
115,199
22916,50
4008,145
25988,47
21663,99
14354,125
42747,250
17293,150
32603,50
15346,60
8972,40
15753,60
48459,39
135,115
32802,62
33079,95
25836,59
43289,113
30835,45
38594,180
19907,200
36915,110
5885,150
15596,80
40454,175
39929,60
32904,800
20095,34
16251,170
29784,169
46231,46
22244,85
19956,250
33084,274
16740,150
14467,40
42021,150
44699,180
44956,450
43484,419
22868,40
39226,43
25190,90
33260,65
45194,85
414,249
13898,34
1055,299
7163,100
28490,150
24942,46
24678,175
43049,159
35582,60
20604,38
10213,70
12652,399
3823,140
25582,125
37606,120
45351,83
12161,99
13493,195
41656,26
31059,50
9669,109
35959,65
19831,700
11638,110
33908,60
2869,80
42611,170
12871,369
17606,130
34537,305
26205,70
15579,50
1693,45
6548,250
9575,260
29848,50
20664,150
41133,190
30365,75
5196,180
17313,125
12477,350
5009,94
33988,75
9010,269
44949,475
46734,250
20636,35
19035,90
48380,99
15042,239
40879,130
22024,122
6793,90
14482,65
26331,160
35900,350
30298,409
46053,140
14198,65
27206,90
1515,134
34923,37
21945,75
40698,140
7089,120
19478,61
45690,42
23879,87
17043,120
39850,220
1652,175
12694,195
4936,150
23297,90
44341,145
37903,125
46398,210
1433,350
34370,40
46928,475
35847,150
24173,265
19595,130
3347,150
45609,310
48667,158
9549,120
46406,930
37095,72
8573,700
24487,95
6470,125
37366,102
33671,25
36592,140
17725,130
39324,79
4725,90
7277,50
46317,110
45225,175
22408,125
34945,175
15766,75
7680,80
46961,55
17527,30
48639,50
3761,1485
23828,400
33335,75
36512,80
26158,150
26363,200
33230,150
2042,145
37346,45
16038,220
7654,195
41360,58
11802,139
4209,200
6724,50
39859,180
24091,68
1777,192
8762,160
26562,150
37080,255
35468,150
43773,90
45197,299
36080,46
19230,75
31891,180
24777,120
36924,300
24473,54
16444,165
44420,90
3234,85
3261,49
11712,100
33415,85
14375,171
43907,220
13173,140
8674,150
31249,59
29510,50
3754,200
48611,300
28570,95
10960,95
29965,94
22419,115
5353,98
41754,150
16808,150
20445,179
2243,70
41574,75
21602,55
2413,285
21548,45
23633,90
37672,60
20184,90
24092,90
20480,97
2915,80
33460,189
16043,85
15600,91
26782,120
23886,278
18681,200
1944,149
4558,125
10883,185
6066,100
45324,200
13965,283
43579,155
38558,55
41289,180
24596,60
41630,27
32921,135
11939,94
14663,99
4161,225
14910,165
15938,150
43441,40
17751,90
39338,50
32577,350
20407,850
3400,80
12237,200
42831,120
13454,37
46361,114
34880,65
26671,225
4163,125
12525,219
43608,250
4839,60
9752,55
14017,75
3531,159
7691,65
3703,200
37389,39
11818,350
6236,105
38893,179
5286,140
34595,180
19648,70
35406,40
15564,95
35123,180
31556,120
10245,150
3720,5250
14287,70
24491,175
44098,100
28760,50
26793,83
45386,110
38701,320
9685,185
11365,45
16280,225
16846,200
8856,140
9052,185
27590,2200
19570,140
820,70
1439,100
31204,275
36737,110
6518,33
20423,79
17568,40
12909,42
41678,80
846,35
15057,70
24358,90
34291,43
40917,65
19309,80
9149,165
26615,95
19508,35
48158,185
42068,100
14922,74
30986,120
5213,149
14722,35
44554,100
16577,45
46671,140
39411,41
155,225
44869,40
45737,250
9257,120
14417,145
21795,100
38627,150
37932,100
39655,195
35692,70
15223,150
41917,43
29608,100
35726,36
44691,55
42836,129
39775,189
19016,40
20922,175
40203,150
38474,100
11769,79
43813,225
44506,150
38047,73
20614,85
5776,275
32078,197
9477,47
5910,128
10017,130
34536,130
16769,74
22465,119
40105,125
19681,499
41505,225
40468,49
25045,150
18061,70
8739,100
37458,59
13433,168
8003,120
21138,75
1680,70
40888,129
3844,128
32761,80
33964,50
32468,95
30006,40
16776,143
6204,150
2963,99
4365,180
28255,80
15802,75
18984,57
44065,180
39944,65
41657,175
14479,199
26146,59
38317,675
26834,130
30684,219
10965,225
8274,100
30302,66
42019,109
3559,60
1338,200
40026,60
36005,39
48869,45
19839,63
48113,315
43365,110
26860,130
19549,40
10569,110
37517,119
21234,32
18631,59
33168,85
47795,299
36847,250
32619,33
40632,125
28516,74
10929,455
25488,55
27070,40
15041,100
48077,170
41290,90
8146,276
11442,42
48053,50
23222,63
25981,42
31814,59
6495,125
13590,149
19596,96
14853,100
2726,349
4366,53
42218,115
28610,70
7208,45
1245,80
43953,200
40055,27
34608,40
21120,89
45836,48
9951,150
2438,179
44255,267
44267,58
44411,182
37797,44
26990,237
45566,300
37179,1700
27137,125
9955,190
2810,136
36605,150
45668,120
31753,122
41215,1494
46403,450
46207,250
44199,265
10414,115
26541,85
42598,50
39056,105
13512,200
5760,160
25589,65
36063,50
8393,200
28852,115
41055,450
25477,70
23616,75
42425,45
1401,125
46619,175
3473,190
19773,70
14861,50
41628,160
11202,260
9969,119
6622,59
35771,45
10698,55
32806,105
34943,250
22754,99
15178,300
19726,110
16931,95
19601,220
25946,100
7198,149
15550,75
38363,175
33259,80
5197,149
35955,250
38365,127
19103,150
41777,210
12628,28
42697,46
47527,150
33653,100
801,110
12153,275
33724,55
7539,101
38966,90
28486,129
9501,170
24773,49
31523,200
25598,66
44190,55
35506,90
48621,55
29351,50
12105,90
28970,110
36124,150
36742,78
18490,80
36642,95
15157,160
14387,160
34232,285
6751,200
36646,70
1593,95
10177,116
36995,45
33479,130
13752,305
21634,75
43781,65
9815,75
19196,75
23822,319
8531,48
27790,95
17972,61
22629,180
22207,89
30143,123
30743,50
36996,36
22337,60
18207,120
42664,180
27263,300
28611,115
40515,55
7396,168
33516,49
33661,90
34096,100
22832,85
17465,61
22793,86
39484,239
27053,85
11624,175
36447,125
22182,99
38991,150
43189,70
1608,200
47728,75
822,199
4929,95
6040,250
24323,32
30080,1250
19209,51
45546,199
47269,72
35010,42
30622,45
15175,125
27636,350
32076,50
24557,60
9528,100
36782,240
45455,65
16354,76
43031,169
32823,150
40372,70
25418,179
33361,300
1666,49
6329,185
33274,50
25353,70
19418,80
27625,100
34314,45
26516,90
3280,140
11915,200
3889,32
31413,23
3023,55
34910,43
40017,373
11254,90
23267,190
14436,39
24511,60
35463,140
22652,129
33443,160
15126,239
37969,75
17038,105
26596,120
34382,112
37523,200
5997,100
7690,65
4325,130
1739,100
2596,98
31087,41
36656,179
13075,135
1408,175
41958,40
19825,100
2682,144
31305,150
14129,65
29842,89
47732,100
2735,140
25765,205
30064,100
767,110
23158,90
22006,199
7285,59
48052,99
6504,250
6640,110
19057,35
31994,99
7006,105
23656,150
4252,400
26159,115
44584,55
41222,31
42709,170
11497,65
6275,260
15963,50
33595,80
31714,80
24262,100
46238,110
39005,98
19392,75
38543,90
10709,59
23614,200
10059,250
14200,35
7884,163
37326,100
13723,49
27844,195
22123,94
33236,35
43936,90
19603,133
23880,230
29309,101
43611,25
3933,650
13855,275
15773,155
44738,305
5707,35
8887,130
10205,150
42543,225
17470,240
21957,75
32239,85
24304,175
17459,53
27277,120
33160,40
3060,250
40106,100
31813,45
40095,155
46890,150
12970,180
15073,44
34001,95
32453,160
3577,60
14302,90
40286,147
33508,90
1571,175
34973,52
286,140
39129,325
46496,78
31159,60
4046,104
40627,199
12927,325
31987,199
23767,76
2320,140
22839,124
6174,72
30627,37
22720,149
17399,119
20504,100
8286,276
40499,100
22341,105
40300,104
30590,137
43162,80
1145,225
15613,53
43434,150
11555,150
10012,70
3224,80
16841,80
44210,75
44400,149
35659,200
26060,50
46950,60
10573,205
15095,150
23785,102
28342,100
33523,225
27705,200
22462,136
47295,100
39492,180
18939,55
29706,40
4377,8000
24526,51
41800,82
1598,245
13714,51
43826,81
33115,200
31644,95
13163,110
30083,145
10265,87
1730,155
19041,475
48228,150
41500,37
7737,275
8124,59
43821,100
1815,190
19828,60
16627,600
38000,5000
29922,35
16538,68
18712,195
44913,109
34554,100
23793,130
9626,100
43980,83
15372,70
23044,275
1684,390
15058,369
39927,155
47733,30
19537,185
34542,250
37686,150
19468,145
14995,95
35989,127
11127,50
3099,150
32572,50
29295,70
21830,150
8826,53
37316,125
46042,87
25855,95
45964,70
37675,95
46388,920
46002,75
7190,1450
13526,124
23779,113
11743,750
21433,120
22939,100
14757,350
32486,69
18289,105
14289,180
22021,180
345,650
6855,300
4291,150
10230,65
43378,85
46194,350
40087,48
24644,100
3864,200
4828,55
6608,75
47423,350
30770,139
14148,175
30477,55
5735,77
600,80
20734,60
6638,100
2261,150
9996,147
10565,225
5013,90
33536,118
24297,200
48622,60
41867,70
12484,99
33917,55
43988,150
25194,80
36689,70
19929,115
3094,149
13020,30
14643,50
32680,169
18154,57
45639,203
22000,220
6632,175
28448,132
25074,45
21536,45
46484,43
19437,229
27113,150
24361,150
15364,239
36854,350
12151,500
37310,65
29828,60
33124,156
34576,85
15807,100
43436,165
33613,255
22022,50
37758,314
11773,200
28263,115
2855,130
43304,115
38003,180
48689,215
28351,57
47535,120
39608,89
10470,109
38647,65
32979,100
32421,99
45587,99
3109,89
18794,150
45658,250
6675,50
45369,65
48422,350
30762,85
41861,160
35387,200
3879,100
46410,90
43733,40
16138,75
21492,100
48329,75
15153,90
43476,200
33565,285
42458,50
26100,59
11959,100
23676,106
18737,200
5973,110
8368,90
26142,150
38717,312
4977,60
25816,120
31280,100
12553,173
40295,50
26016,125
22799,100
12828,55
5168,129
5319,95
15150,333
38444,45
2824,350
1567,425
17510,245
45755,60
3104,295
12043,249
13487,139
6194,45
5372,250
3802,73
20669,200
28649,90
6042,160
45630,90
38724,242
24468,50
18232,120
39580,85
19809,48
14014,100
24005,69
36682,400
31575,271
24941,500
1348,54
47903,128
34014,250
11191,195
45019,100
31338,975
28833,325
31783,55
26479,90
11415,135
18881,250
30297,80
37834,35
48674,50
26528,45
24160,85
39599,94
11874,180
10655,132
29225,125
28235,99
24687,99
16117,100
40663,120
32998,149
33205,165
23700,219
17828,57
17853,500
10190,70
12184,125
11273,115
39339,125
2580,125
42386,177
5888,99
21359,199
8061,65
33838,94
23571,29
5825,250
8937,120
48517,44
34603,85
28000,215
11689,85
13152,70
5424,81
4600,62
28914,65
25128,275
18415,30
21383,70
1314,120
12832,50
36620,48
9527,60
46043,198
12974,239
37830,95
42957,295
6159,75
29407,38
42718,53
31191,160
48844,205
19358,87
13620,100
14817,80
11984,70
46173,110
48224,250
47765,220
40038,60
5455,264
37329,83
38507,47
14767,133
47009,175
19429,748
20,299
18230,50
8775,98
13095,200
42186,250
24008,120
33367,79
12516,31
13826,65
36085,170
45083,300
25780,270
8051,50
38709,291
42699,35
22089,50
15844,125
40282,60
868,75
11846,50
1289,99
31946,125
27385,69
9417,86
13420,190
6028,60
4975,80
45343,55
5365,170
21149,43
16925,99
10799,400
18102,100
3794,85
14697,175
19720,79
7615,200
16916,119
10635,200
6156,275
10386,150
20485,150
20514,90
32975,75
7362,142
18183,100
27211,70
32837,34
26223,98
24000,120
15290,369
24955,65
32727,120
48284,90
34173,250
40623,82
29562,150
24136,45
6735,99
21860,51
15929,180
17906,350
43512,85
43175,105
17896,135
39938,90
48804,99
34436,90
30587,163
6432,60
29783,45
27312,190
30407,83
30749,125
40949,65
10681,40
31901,70
46914,45
8237,350
45304,45
6343,122
16631,150
41528,65
14379,37
33941,280
16982,69
19032,100
36499,69
22817,90
48259,65
219,159
30791,49
34271,80
40183,200
12026,60
15321,80
10730,85
28040,76
17963,150
576,80
20968,41
13516,80
1912,250
12924,110
23723,155
18398,85
18986,69
34153,22
17419,129
47324,90
13763,199
47200,49
41098,36
26367,80
40755,85
15939,26
2811,550
18830,75
28147,149
22242,150
5048,104
10744,39
5370,229
14693,200
2046,225
16548,36
43859,35
9169,45
27741,78
39979,250
42858,210
18618,80
35954,110
19754,200
17230,85
27172,42
5901,189
44926,59
46181,590
16530,45
47507,399
18304,45
37472,485
26349,70
30318,59
23884,69
18700,50
4021,120
48125,190
28271,38
34528,300
2421,75
14952,50
48470,60
20022,40
24926,110
8303,100
22697,145
15149,325
43032,169
39595,120
36693,80
33898,159
45894,595
24938,84
30465,39
35087,100
27174,50
27638,160
79,150
21460,90
39405,69
25558,60
25281,100
44935,599
3702,1200
27697,195
14599,250
17919,45
28188,75
44414,68
27966,60
19155,33
2198,85
39329,100
24907,795
32607,100
44695,123
33829,150
29768,59
23252,89
12339,325
1432,60
41691,100
33835,157
38110,100
48484,280
27075,150
6688,80
12149,70
37954,150
30034,173
31066,10
36335,85
13542,149
18262,65
30815,90
41669,67
19763,75
17965,165
46103,165
7308,89
35585,86
18929,37
12206,225
9007,45
35089,45
20024,190
43242,350
14323,235
16693,35
888,245
15965,45
11219,60
27519,80
10143,165
32035,162
33825,65
20976,80
30453,640
21833,100
31285,39
23106,88
18812,93
45423,185
24969,90
11135,150
47498,75
29814,75
6199,400
9568,166
26464,99
47078,400
39884,199
29978,100
16865,150
36172,60
21425,125
34158,95
13721,94
5738,150
40394,300
47138,175
7040,60
45252,60
1380,275
39550,185
37379,121
12921,73
10885,250
13540,179
44560,35
33428,35
45893,56
40730,250
19042,70
34707,160
48146,40
22718,45
46195,25
29037,45
35670,269
27333,110
35892,100
10890,130
13377,67
7270,250
46236,47
15781,85
30484,175
38360,89
34377,250
39925,200
1372,200
36242,29
3603,60
5067,65
11393,55
46063,90
1172,79
43738,140
44166,40
6809,70
84,94
27463,169
8424,55
20364,95
25838,60
23914,152
22824,185
30127,150
7173,249
3116,240
37419,80
6532,40
17669,55
45637,125
29270,225
31624,58
14292,550
45966,495
7244,175
47892,199
32876,250
21301,45
30499,85
23150,125
47144,190
22742,100
19148,65
39256,40
39086,40
9345,45
17874,75
5809,260
48373,99
33756,150
379,85
8248,185
48319,80
4840,255
4880,350
32604,150
296,195
44797,300
48618,80
40186,60
45398,43
13569,105
32391,75
37520,150
27821,299
15349,198
45715,89
7981,49
19597,109
48396,100
2357,175
2986,95
15769,35
26726,378
3289,170
10736,139
1517,250
1471,127
10032,175
30089,33
16763,250
15964,35
8938,40
27392,100
20732,116
47291,275
10888,60
1488,45
38589,50
45921,200
48400,137
5015,120
30385,220
867,75
19231,120
11539,129
1695,105
43385,100
26794,135
19886,75
17044,525
2868,241
10592,129
13464,139
20887,100
2172,75
35863,85
3517,30
17737,99
8850,270
1607,70
46613,250
15722,98
43136,120
11644,180
39335,68
43412,120
24699,125
16989,100
45486,29
16561,60
23035,325
198,80
39516,60
7627,80
26871,170
1183,180
28097,100
32674,50
27348,90
36498,74
34869,88
28488,42
7684,45
139,135
34942,65
7042,70
6479,105
468,75
262,135
28176,100
25991,200
34252,150
35635,28
6427,140
29699,145
5147,99
34552,80
24023,44
38886,199
36149,139
30656,199
16777,40
28663,150
45090,400
38431,249
14512,40
42193,70
4804,47
11389,45
20760,50
27134,180
31157,158
37230,55
4464,130
37709,120
15368,194
9770,185
14053,400
19479,160
37343,75
3745,149
47796,80
4207,175
31612,90
15657,175
48073,110
31196,200
17063,161
45606,299
48116,56
41786,75
45004,100
26928,40
28959,57
10211,90
38421,70
34364,89
19189,80
4428,795
13066,155
43549,240
3941,180
27151,35
38055,28
30534,250
7361,58
46318,35
33298,250
235,125
43964,69
7719,75
9122,120
7184,60
31877,137
36539,200
4677,155
31453,185
26948,30
46721,30
11275,187
34273,120
29281,250
29307,250
34949,159
24674,150
7075,90
13698,120
8459,150
12549,190
25926,75
26937,188
39778,241
43467,79
10258,60
21963,60
6541,75
10221,90
5965,350
43777,160
5549,100
4185,70
24855,65
44680,220
22864,139
36756,199
10374,118
22794,199
26575,65
29422,125
38175,55
15573,180
28616,33
857,150
22813,165
29493,60
12761,250
827,199
7829,57
21465,350
42886,124
25147,190
3734,129
37182,200
12401,80
30289,30
41487,110
23953,210
45782,130
23254,160
29635,265
44622,130
23529,45
29634,47
25744,799
38082,179
12911,150
12962,290
7548,235
46741,400
6613,400
33841,55
487,79
44502,109
29751,45
3733,89
30283,32
26499,150
33105,150
46216,420
2435,95
2844,420
47154,90
14883,54
10901,100
48020,90
9772,300
12695,35
28145,85
37656,250
33021,70
13863,220
32230,115
17947,100
39060,120
17092,65
28170,103
25173,40
2281,72
46964,200
15185,225
18392,110
16407,150
38254,46
29480,99
33502,45
30996,45
26131,95
46832,48
18063,75
44085,500
30286,110
44532,50
36326,55
4706,100
45446,50
18894,50
1551,150
30029,95
38937,65
45808,150
22195,115
29333,250
47277,219
11100,40
44610,35
40880,55
21323,60
48460,100
8441,105
32325,100
7071,160
290,124
45397,100
1731,149
22421,65
43380,425
45040,60
5445,125
22319,150
23889,100
30016,95
15877,225
47024,100
35991,225
5658,200
46312,165
10030,69
3764,369
31861,50
10339,85
12997,200
5774,500
19319,90
20189,85
8063,153
16529,170
18863,200
34093,150
19425,534
38547,145
25277,75
34682,106
41094,60
8517,50
15832,99
24648,90
36746,50
23649,800
4796,115
41118,61
35469,150
15768,46
25127,120
10252,400
9350,95
36823,90
14912,425
44051,100
7047,50
17943,55
39881,130
13348,90
36596,120
44593,112
4661,68
3274,150
10753,100
6173,68
13931,36
5724,65
26381,30
36633,60
30185,60
46906,200
4766,85
26507,222
6628,100
33707,70
44724,85
26493,100
43752,101
3176,275
31091,130
33128,60
35084,125
31780,70
28315,73
36140,185
47708,50
36900,99
1836,45
7657,195
36990,390
15764,37
43646,119
15742,240
4507,59
3165,32
18264,122
5020,184
19981,65
46443,126
38923,42
3117,180
39381,69
13593,120
33585,143
22428,47
5653,170
29504,110
9924,400
42256,139
29559,76
27028,250
30354,52
46970,50
6441,140
47361,150
39186,200
26376,400
45696,155
27212,150
32939,70
517,170
3522,240
40331,450
10115,22
5716,85
38424,150
3740,40
40821,170
5008,145
45579,250
24443,105
31185,120
10991,55
13414,189
26775,110
26749,200
12551,75
45828,79
40799,220
17119,95
47332,159
14813,62
39176,70
45936,400
15914,150
47804,105
33032,41
31132,135
47624,288
12698,140
24741,95
16353,150
38993,101
46628,55
13524,250
6313,172
7693,120
25323,85
24208,225
392,200
36914,188
1437,140
6348,107
21152,195
31378,130
19248,55
36260,60
35870,385
27944,155
31909,150
59,180
32775,230
7289,49
28571,109
48197,78
12389,60
39558,24
40225,75
20065,100
43698,85
20822,260
25790,400
19415,375
5659,145
8656,88
40136,125
36593,199
22287,10
36060,145
47567,100
13278,115
908,79
14525,65
29993,65
1540,85
24416,125
24836,120
14966,290
25682,168
5298,76
19106,45
10828,215
40086,1750
41353,69
9922,175
26407,80
10083,200
32312,199
31832,135
23161,0
9699,85
48670,299
3715,180
12377,80
4420,54
43825,145
37048,119
33737,100
17341,100
44878,254
2993,100
40907,59
47974,149
28167,45
37021,300
43451,200
21684,36
42991,110
36073,59
21739,55
16782,85
42435,128
31329,299
13801,149
18837,25
46044,275
45145,48
39801,113
8863,98
23927,80
9117,165
19424,534
28393,95
43312,65
37107,155
37655,90
16063,45
34171,115
36403,100
44983,100
17434,150
47364,43
19872,49
19447,74
16975,360
38710,263
23804,148
15075,172
25627,160
37525,250
19152,534
5231,150
248,99
9138,145
28470,57
35649,590
2019,175
14107,110
38146,70
29967,31
17098,62
13046,52
35378,200
46387,189
31637,109
39594,199
43543,229
29339,60
45308,200
47821,699
30952,65
27339,275
5149,190
8818,86
47157,75
4332,450
45802,145
29536,165
13378,189
41337,100
1604,70
3484,299
20655,99
32464,250
32938,850
7713,149
27343,32
11403,190
18741,49
32545,160
17712,120
24070,88
33103,90
10436,45
19971,103
23449,103
37211,200
1302,80
6475,175
118,225
10560,120
20165,60
47003,36
30842,60
25669,60
7565,100
33149,99
706,189
16255,105
46028,60
31007,75
35399,175
34293,52
2123,70
738,60
43794,150
9231,220
34209,47
43915,140
24444,100
21237,249
34941,120
