,price
9993,95
26068,99
29658,180
23606,45
16310,175
46707,400
43463,30
27734,59
42638,40
7834,100
19180,175
31836,59
3147,145
508,120
6924,99
10914,60
1661,95
29673,980
40216,20
29450,80
3580,170
27081,250
18756,140
42263,231
38556,149
46237,60
1143,105
45611,90
9100,165
4433,110
17855,79
33125,85
12112,280
34124,179
20888,159
20975,73
32719,52
15106,200
46606,299
44223,229
30226,165
25729,47
34277,75
37439,150
18510,225
4812,99
16461,350
38045,59
39560,200
39394,220
8372,100
7102,79
2379,239
27360,65
14701,50
24524,299
35400,85
8059,250
40021,247
27395,75
8957,55
2200,60
43284,110
44676,75
845,30
30603,120
37771,30
19325,95
45879,447
5217,40
6886,100
9420,100
17868,150
45724,70
48483,50
34425,320
23696,280
21443,55
34295,50
1915,140
3544,85
19593,120
14040,55
43236,70
10506,69
710,95
4103,120
21686,105
33807,100
35185,180
11742,75
34964,400
34465,30
41843,299
33554,179
19606,179
7196,135
29590,55
7015,200
37228,355
37767,200
29989,325
32769,160
41417,229
11080,180
1014,125
24724,180
16273,225
28617,130
19237,179
29627,79
25802,229
25939,79
12774,200
21547,200
40356,249
42191,120
28142,75
21631,125
35825,65
22850,205
38066,165
20803,120
8803,70
26885,200
39528,180
26802,52
38861,50
46819,305
11380,75
23797,72
15699,125
42937,525
60,80
17171,72
13458,140
17617,125
17374,70
33313,400
41940,100
31398,35
43808,65
10927,130
46479,160
41336,80
2147,65
9217,80
28406,31
33996,146
41988,432
6849,40
35312,68
31147,71
10500,130
1387,35
522,99
13575,99
5310,50
47960,220
35763,55
39810,299
33375,125
41592,130
40870,209
39305,85
47172,50
11397,105
15171,78
20094,1599
3817,975
11825,50
41872,48
45745,459
34165,450
27723,73
19698,160
24132,250
12865,230
48315,35
23214,65
44853,200
37521,150
6453,90
13500,35
5408,65
43216,600
16988,50
12016,140
514,99
7065,80
8616,50
17894,122
24165,112
983,350
5060,95
41394,51
24924,26
25944,496
28447,399
41730,180
28359,128
23683,37
26010,45
45742,152
47372,48
30873,180
12588,230
37295,85
531,149
47469,50
43729,235
5183,90
4692,121
14517,135
5384,45
41077,199
27375,118
42866,146
148,80
35237,89
24423,55
21557,58
43022,380
34313,65
37994,255
3187,45
11952,57
6852,120
2569,80
17472,90
1623,185
15242,90
35142,100
47301,130
31255,95
9207,250
21040,220
13156,100
9497,130
6905,155
46331,100
37804,300
32816,180
36713,75
45727,120
2891,40
1373,249
20708,75
48276,129
3428,110
38566,70
42935,220
35064,190
40887,70
33783,47
3129,150
31911,225
32169,150
46675,275
5098,216
15004,26
30546,25
17915,189
4426,165
10244,149
13405,140
27022,300
10447,250
7694,255
6803,94
12015,99
30708,69
28364,75
10307,220
30416,60
8177,60
28512,160
19107,150
8659,165
27498,150
41729,52
2748,120
20817,375
12732,65
48866,58
29441,50
31950,50
29961,65
24227,275
42391,39
48111,122
7702,150
12747,300
19247,105
31152,79
30863,125
41020,100
9686,145
27441,125
41717,85
32612,225
40122,38
14486,200
17704,62
29984,365
1507,54
46537,55
35636,125
13781,80
44804,150
35839,230
24143,100
48632,39
7593,155
675,199
5181,82
9440,115
13515,102
41924,48
23373,70
46147,70
27501,60
29078,55
41690,250
40056,100
47474,379
33424,38
3160,38
47119,99
36171,43
2258,125
9779,40
4758,316
22823,50
33144,174
10429,83
7444,84
39540,199
5527,185
3762,120
6070,100
20263,55
21305,95
42895,250
39015,45
25443,82
15571,350
2998,87
23740,51
40160,250
41260,70
47880,100
46525,78
48082,125
43690,249
18253,50
11411,83
5729,160
33059,45
9326,100
1600,199
11450,150
19694,182
15898,100
16591,65
44621,159
43131,110
24166,250
28119,70
31884,250
43638,110
29675,79
16980,450
28564,80
19451,50
