,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_group_n,neighbourhood_n,room_type_n,neighbourhood_group_le,room_type_le
9993,40371157,Bronx,Longwood,40.82417,-73.90156,Private room,1,182,3.82,2,0,4,99,0,0,1
26068,30384194,Queens,Astoria,40.75713,-73.91334,Private room,3,1,0.05,2,328,2,56,0,3,1
29658,57791424,Manhattan,East Village,40.72406,-73.98275,Entire home/apt,3,2,0.15,1,0,1,19,1,2,0
23606,10697117,Brooklyn,Flatbush,40.64844,-73.96214,Private room,5,2,0.08,1,0,0,22,0,1,1
16310,20109188,Brooklyn,Williamsburg,40.70413,-73.93205,Entire home/apt,2,102,2.68,1,284,0,12,1,1,0
46707,212910330,Manhattan,SoHo,40.72273,-74.00352,Private room,4,2,2.0,1,60,1,27,0,2,1
43463,199833548,Queens,Briarwood,40.70579,-73.81001,Shared room,1,10,4.05,9,361,2,94,2,3,2
27734,157262166,Brooklyn,Prospect-Lefferts Gardens,40.65662,-73.95344,Private room,2,102,5.2,2,347,0,24,0,1,1
42638,4401527,Brooklyn,Clinton Hill,40.68464,-73.96151,Private room,6,1,0.31,1,17,0,3,0,1,1
7834,31102831,Brooklyn,Boerum Hill,40.68401,-73.98521,Private room,4,120,2.36,1,22,0,38,0,1,1
19180,27803037,Manhattan,Kips Bay,40.74089,-73.98094,Entire home/apt,3,20,0.61,1,0,1,26,1,2,0
31836,3090750,Manhattan,Upper East Side,40.77106,-73.95013,Private room,2,4,0.28,2,0,1,28,0,2,1
3147,9762099,Manhattan,Lower East Side,40.71845,-73.99326,Entire home/apt,1,0,,1,0,1,23,1,2,0
508,39260,Manhattan,East Harlem,40.79056,-73.9468,Entire home/apt,2,86,0.91,1,268,1,4,1,2,0
6924,25517905,Manhattan,Upper West Side,40.7962,-73.96156,Private room,1,277,5.44,3,294,1,8,0,2,1
10914,44344360,Brooklyn,Bushwick,40.69882,-73.91771,Private room,7,0,,1,0,0,21,0,1,1
1661,869880,Manhattan,East Village,40.73233,-73.98695,Private room,5,64,0.88,1,316,1,19,0,2,1
29673,19981762,Manhattan,Battery Park City,40.7152,-74.01368,Entire home/apt,3,0,,1,0,1,101,1,2,0
40216,129022496,Brooklyn,Bedford-Stuyvesant,40.67872,-73.94805,Private room,10,8,1.4,2,38,0,6,0,1,1
29450,53821850,Brooklyn,Williamsburg,40.70699,-73.94604,Private room,1,62,4.83,2,58,0,12,0,1,1
3580,10909829,Brooklyn,Bedford-Stuyvesant,40.68478,-73.92971,Entire home/apt,3,125,1.86,2,314,0,6,1,1,0
27081,683457,Manhattan,East Village,40.72469,-73.99111,Entire home/apt,3,1,0.05,1,0,1,19,1,2,0
18756,92963740,Brooklyn,Sunset Park,40.66148,-73.98942,Entire home/apt,2,83,2.4,2,7,0,79,1,1,0
42263,219517861,Manhattan,Murray Hill,40.7475,-73.97569,Entire home/apt,2,5,1.32,327,82,1,5,1,2,0
38556,28613272,Manhattan,East Harlem,40.79949,-73.93531,Entire home/apt,7,1,0.16,1,3,1,4,1,2,0
46237,30054890,Brooklyn,Williamsburg,40.70706,-73.95048,Private room,3,2,2.0,2,0,0,12,0,1,1
