,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_group_n,neighbourhood_n,room_type_n,neighbourhood_group_le,room_type_le
1143,2396741,Brooklyn,Fort Hamilton,40.61269,-74.03381,Entire home/apt,30,3,0.05,1,30,0,75,1,1,0
45611,262803937,Brooklyn,Prospect-Lefferts Gardens,40.66288,-73.95277,Entire home/apt,2,4,2.73,1,73,0,24,1,1,0
9100,25237492,Manhattan,Upper East Side,40.76244,-73.96031,Entire home/apt,30,9,0.2,34,280,1,28,1,2,0
4433,8656650,Manhattan,Harlem,40.80453,-73.95699,Private room,2,37,0.6,1,182,1,2,0,2,1
17855,5822377,Manhattan,East Village,40.72608,-73.98798,Shared room,1,1,0.03,2,0,1,19,2,2,2
33125,196468460,Bronx,Unionport,40.82848,-73.85466,Entire home/apt,2,68,5.37,1,247,4,213,1,0,0
12112,31368679,Brooklyn,Williamsburg,40.71914,-73.95709,Entire home/apt,1,13,0.3,1,363,0,12,1,1,0
34124,33074595,Brooklyn,Bedford-Stuyvesant,40.68528,-73.958,Entire home/apt,4,28,2.99,1,130,0,6,1,1,0
20888,72568223,Brooklyn,Gowanus,40.68066,-73.99097,Entire home/apt,5,12,0.41,1,0,0,34,1,1,0
20975,18151522,Queens,Ridgewood,40.70538,-73.91322,Private room,1,0,,1,0,2,44,0,3,1
32719,137358866,Manhattan,Harlem,40.81207,-73.94359,Private room,30,2,0.18,103,184,1,2,0,2,1
15106,5017724,Manhattan,Theater District,40.75827,-73.98825,Private room,5,4,0.1,1,365,1,71,0,2,1
46606,221213143,Manhattan,Midtown,40.74217,-73.98398,Entire home/apt,1,0,,9,339,1,1,1,2,0
44223,219517861,Manhattan,Financial District,40.70632,-74.01073,Entire home/apt,2,3,2.09,327,348,1,43,1,2,0
30226,173823383,Staten Island,Shore Acres,40.60809,-74.0727,Entire home/apt,2,51,3.25,1,0,3,78,1,4,0
25729,127756959,Brooklyn,East Flatbush,40.63826,-73.93186,Private room,4,21,0.93,2,320,0,54,0,1,1
34277,163482759,Manhattan,SoHo,40.72586,-74.00079,Private room,1,14,1.25,1,0,1,27,0,2,1
37439,153503882,Brooklyn,Greenpoint,40.72795,-73.95481,Entire home/apt,2,8,1.03,1,0,0,20,1,1,0
18510,10549144,Manhattan,Upper West Side,40.80065,-73.96944,Entire home/apt,5,18,0.58,2,96,1,8,1,2,0
4812,17206543,Queens,Astoria,40.77056,-73.92159,Entire home/apt,2,7,0.12,1,0,2,56,1,3,0
16461,74031395,Manhattan,Gramercy,40.73637,-73.98051,Entire home/apt,5,0,,1,0,1,68,1,2,0
38045,221645033,Brooklyn,Bushwick,40.70094,-73.91992,Private room,1,1,0.75,5,148,0,21,0,1,1
39560,52053537,Queens,Long Island City,40.75317,-73.94015,Entire home/apt,3,0,,1,0,2,25,1,3,0
39394,5953913,Manhattan,Battery Park City,40.70418,-74.01695,Entire home/apt,2,0,,1,0,1,101,1,2,0
8372,17382690,Brooklyn,South Slope,40.66632,-73.99013,Entire home/apt,3,100,1.98,1,6,0,10,1,1,0
7102,26558533,Manhattan,Upper West Side,40.79678,-73.96545,Private room,2,8,0.22,1,0,1,8,0,2,1
2379,3496628,Manhattan,Upper West Side,40.78571,-73.97149,Entire home/apt,4,3,0.04,1,184,1,8,1,2,0
27360,3309100,Brooklyn,Williamsburg,40.70443,-73.93039,Private room,2,71,3.65,1,249,0,12,0,1,1
14701,51446803,Manhattan,Harlem,40.83122,-73.94475,Shared room,1,67,1.65,1,216,1,2,2,2,2
24524,7627586,Brooklyn,Brooklyn Heights,40.69387,-73.99412,Entire home/apt,4,6,0.27,1,27,0,32,1,1,0
35400,205745676,Queens,Flushing,40.75806,-73.82005,Private room,1,24,2.31,9,341,2,37,0,3,1
8059,31617949,Manhattan,East Village,40.72551,-73.97893,Entire home/apt,30,25,0.51,1,0,1,19,1,2,0
40021,185265758,Manhattan,Harlem,40.82269,-73.94969,Entire home/apt,2,24,4.26,2,263,1,2,1,2,0
27395,142625186,Brooklyn,Bushwick,40.69104,-73.91685,Private room,1,44,2.16,2,0,0,21,0,1,1
8957,731601,Queens,Astoria,40.77199,-73.93159,Private room,15,1,0.02,2,0,2,56,0,3,1
2200,5658953,Manhattan,East Village,40.72944,-73.98645,Private room,5,66,0.87,1,232,1,19,0,2,1
43284,10506005,Brooklyn,Flatbush,40.6491,-73.96322,Entire home/apt,3,2,2.0,1,108,0,22,1,1,0
44676,251859047,Brooklyn,Crown Heights,40.67592,-73.92341,Private room,2,2,2.0,3,158,0,15,0,1,1
845,839679,Brooklyn,Williamsburg,40.71653,-73.95554,Private room,3,24,0.28,3,0,0,12,0,1,1
30603,43264429,Manhattan,Morningside Heights,40.80454,-73.9645,Private room,1,2,0.16,1,0,1,45,0,2,1
37771,43044876,Queens,Woodside,40.74824,-73.89961,Private room,29,1,0.3,5,1,2,31,0,3,1
19325,98816024,Brooklyn,Williamsburg,40.7111,-73.94352,Private room,3,24,0.73,1,5,0,12,0,1,1
45879,91268177,Manhattan,Chelsea,40.74372,-74.00601,Entire home/apt,3,3,2.2,4,179,1,14,1,2,0
5217,3086826,Bronx,Mount Hope,40.84611,-73.91036,Private room,3,59,1.0,1,343,4,150,0,0,1
6886,23069182,Brooklyn,Fort Greene,40.68346,-73.97214,Private room,1,55,4.16,1,342,0,13,0,1,1
9420,5570436,Brooklyn,Bushwick,40.70548,-73.91776,Private room,1,15,0.33,1,359,0,21,0,1,1
17868,61292168,Manhattan,Harlem,40.81217,-73.94692,Entire home/apt,3,86,2.43,1,226,1,2,1,2,0
45724,263053182,Queens,Rego Park,40.7258,-73.86715,Private room,1,2,2.0,10,127,2,87,0,3,1
48483,220991097,Brooklyn,East New York,40.67303,-73.88621,Private room,1,0,,1,166,0,70,0,1,1
34425,200380610,Manhattan,Chelsea,40.74631,-73.99121,Entire home/apt,30,0,,65,364,1,14,1,2,0
23696,56342503,Manhattan,Hell's Kitchen,40.7694,-73.98736,Entire home/apt,4,3,0.13,1,0,1,7,1,2,0
21443,22926868,Brooklyn,Sunset Park,40.64672,-74.00087,Private room,20,23,0.84,3,41,0,79,0,1,1
34295,204915695,Brooklyn,Sunset Park,40.63729,-74.01046,Private room,3,25,2.26,2,108,0,79,0,1,1
1915,3159197,Brooklyn,Prospect-Lefferts Gardens,40.66251,-73.95374,Entire home/apt,2,11,0.18,1,35,0,24,1,1,0
3544,10777592,Manhattan,Upper East Side,40.7686,-73.95307,Shared room,2,16,0.25,1,0,1,28,2,2,2
19593,99145869,Brooklyn,Williamsburg,40.71822,-73.95134,Entire home/apt,30,6,0.29,1,164,0,12,1,1,0
14040,7822683,Brooklyn,Greenpoint,40.73539,-73.95838,Private room,10,2,0.05,1,0,0,20,0,1,1
43236,7594732,Manhattan,East Harlem,40.79433,-73.94414,Private room,2,0,,1,103,1,4,0,2,1
10506,40176101,Brooklyn,Bedford-Stuyvesant,40.68927,-73.93035,Private room,1,327,7.07,7,41,0,6,0,1,1
710,1372786,Manhattan,Chelsea,40.74025,-74.00161,Private room,5,20,0.33,1,0,1,14,0,2,1
4103,13499885,Manhattan,East Village,40.72839,-73.98613,Private room,3,5,0.09,2,0,1,19,0,2,1
21686,16145840,Manhattan,East Harlem,40.79877,-73.93964,Private room,3,21,1.14,2,9,1,4,0,2,1
33807,135739716,Brooklyn,Red Hook,40.67856,-74.01584,Entire home/apt,3,17,1.42,1,6,0,123,1,1,0
35185,99683151,Manhattan,West Village,40.7334,-74.00323,Entire home/apt,3,21,2.09,3,162,1,11,1,2,0
11742,9870919,Brooklyn,Williamsburg,40.71253,-73.96023,Private room,4,2,0.04,1,0,0,12,0,1,1
34964,209291543,Manhattan,Midtown,40.75355,-73.97352,Private room,7,3,1.23,1,184,1,1,0,2,1
34465,21621071,Brooklyn,Bedford-Stuyvesant,40.69156,-73.94846,Private room,4,3,0.27,1,0,0,6,0,1,1
41843,43811211,Manhattan,Chinatown,40.71612,-73.99273,Entire home/apt,2,5,2.05,1,324,1,9,1,2,0
33554,17400431,Manhattan,East Village,40.73177,-73.98691,Entire home/apt,5,32,2.92,1,12,1,19,1,2,0
19606,101378990,Manhattan,Midtown,40.74634,-73.98704,Private room,1,4,0.13,1,337,1,1,0,2,1
7196,27238076,Manhattan,Hell's Kitchen,40.76432,-73.98599,Private room,2,195,3.69,1,241,1,7,0,2,1
29590,133545456,Brooklyn,South Slope,40.66085,-73.98178,Shared room,2,1,0.06,1,0,0,10,2,1,2
7015,26024349,Brooklyn,Downtown Brooklyn,40.6978,-73.98396,Private room,1,0,,1,0,0,113,0,1,1
37228,222700281,Manhattan,Kips Bay,40.74257,-73.97948,Private room,2,5,0.66,1,230,1,26,0,2,1
37767,39243102,Brooklyn,Columbia St,40.68784,-74.00242,Private room,1,0,,1,89,0,96,0,1,1
29989,12872352,Manhattan,Midtown,40.75881,-73.96295,Entire home/apt,1,0,,3,267,1,1,1,2,0
32769,186084,Manhattan,Chinatown,40.71676,-73.99348,Entire home/apt,2,5,0.48,2,46,1,9,1,2,0
41417,219517861,Manhattan,Financial District,40.7065,-74.01019,Entire home/apt,2,10,2.34,327,349,1,43,1,2,0
11080,25170062,Manhattan,Nolita,40.72271,-73.99545,Entire home/apt,3,2,0.04,1,0,1,64,1,2,0
1014,2051075,Brooklyn,Crown Heights,40.67259,-73.95489,Entire home/apt,30,58,0.67,2,212,0,15,1,1,0
24724,26178020,Queens,Long Island City,40.75265,-73.9405,Entire home/apt,30,0,,1,83,2,25,1,3,0
16273,1642326,Brooklyn,Downtown Brooklyn,40.69202,-73.98469,Entire home/apt,3,36,1.01,1,53,0,113,1,1,0
28617,1444513,Brooklyn,Crown Heights,40.6697,-73.95831,Entire home/apt,2,15,0.82,1,0,0,15,1,1,0
19237,7139819,Manhattan,Chelsea,40.74738,-74.00134,Entire home/apt,3,3,0.09,2,0,1,14,1,2,0
29627,24467449,Brooklyn,Bedford-Stuyvesant,40.68567,-73.95146,Entire home/apt,1,8,0.47,2,21,0,6,1,1,0
25802,76104209,Manhattan,Upper West Side,40.77068,-73.98674,Entire home/apt,30,0,,33,364,1,8,1,2,0
25939,118751485,Queens,Ditmars Steinway,40.77786,-73.90819,Private room,7,36,1.64,1,48,2,49,0,3,1
12774,38297722,Brooklyn,Williamsburg,40.71691,-73.93953,Entire home/apt,2,1,0.02,1,0,0,12,1,1,0
21547,40032009,Manhattan,Morningside Heights,40.80387,-73.96367,Entire home/apt,5,2,0.07,2,0,1,45,1,2,0
40356,224815152,Manhattan,Hell's Kitchen,40.75634,-73.99641,Private room,1,6,1.06,8,89,1,7,0,2,1
42191,246290852,Brooklyn,Bedford-Stuyvesant,40.69239,-73.94884,Entire home/apt,28,0,,2,264,0,6,1,1,0
28142,158625100,Queens,Richmond Hill,40.68683,-73.82743,Private room,1,25,1.3,2,48,2,124,0,3,1
21631,1789596,Brooklyn,Williamsburg,40.70744,-73.95417,Entire home/apt,6,10,0.36,1,239,0,12,1,1,0
35825,188498431,Queens,Sunnyside,40.73939,-73.92308,Private room,2,13,1.49,6,341,2,39,0,3,1
22850,128417181,Manhattan,Financial District,40.70766,-74.00153,Private room,2,41,1.56,1,308,1,43,0,2,1
38066,225930875,Brooklyn,Bay Ridge,40.62951,-74.02319,Entire home/apt,7,0,,1,126,0,90,1,1,0
20803,2970729,Manhattan,Harlem,40.8116,-73.943,Entire home/apt,3,15,2.06,1,15,1,2,1,2,0
8803,28813132,Manhattan,Morningside Heights,40.81656,-73.96122,Private room,1,0,,1,0,1,45,0,2,1
26885,154239561,Brooklyn,Williamsburg,40.71198,-73.95787,Entire home/apt,2,45,2.16,2,268,0,12,1,1,0
39528,1574687,Manhattan,Financial District,40.7058,-74.01559,Entire home/apt,2,3,1.14,1,5,1,43,1,2,0
26802,1272997,Brooklyn,Greenpoint,40.72868,-73.95248,Private room,2,68,3.25,1,9,0,20,0,1,1
38861,221645033,Brooklyn,Bushwick,40.69947,-73.92006,Private room,1,1,1.0,5,333,0,21,0,1,1
46819,266780775,Manhattan,Hell's Kitchen,40.76021,-73.99976,Entire home/apt,1,2,2.0,1,133,1,7,1,2,0
11380,45232769,Queens,Astoria,40.76628,-73.91761,Private room,2,94,2.08,3,35,2,56,0,3,1
23797,38655309,Manhattan,Harlem,40.82953,-73.94283,Entire home/apt,3,28,1.15,1,0,1,2,1,2,0
15699,12534916,Manhattan,Chelsea,40.74187,-74.00175,Private room,2,0,,1,0,1,14,0,2,1
42937,24761711,Brooklyn,Kensington,40.64714,-73.98107,Entire home/apt,5,0,,2,42,0,0,1,1,0
60,60252,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,2,42,0.38,1,263,0,12,0,1,1
17171,78672740,Brooklyn,Flatbush,40.64809,-73.9677,Private room,1,25,0.68,1,333,0,22,0,1,1
13458,51728257,Manhattan,Gramercy,40.73462,-73.98227,Entire home/apt,4,1,0.02,1,0,1,68,1,2,0
17617,12485770,Manhattan,East Village,40.729,-73.98098,Entire home/apt,30,6,0.24,9,150,1,19,1,2,0
17374,7747816,Brooklyn,Crown Heights,40.67089,-73.96035,Shared room,1,0,,1,0,0,15,2,1,2
33313,159498011,Manhattan,Midtown,40.7657,-73.98075,Entire home/apt,2,5,0.43,1,0,1,1,1,2,0
41940,244973445,Brooklyn,Bushwick,40.69466,-73.9106,Private room,1,0,,1,35,0,21,0,1,1
31398,53163551,Brooklyn,Bushwick,40.70037,-73.91751,Private room,14,4,0.28,1,0,0,21,0,1,1
43808,64675514,Brooklyn,Williamsburg,40.70867,-73.93891,Private room,15,1,0.94,1,0,0,12,0,1,1
10927,17473615,Manhattan,Hell's Kitchen,40.75548,-73.99706,Private room,1,1,0.02,1,0,1,7,0,2,1
46479,265065371,Queens,Jamaica,40.67621,-73.78279,Entire home/apt,3,0,,1,77,2,46,1,3,0
41336,7627510,Queens,Jackson Heights,40.75318,-73.88404,Private room,2,5,1.06,1,157,2,83,0,3,1
2147,4714927,Manhattan,East Harlem,40.79218,-73.95076,Private room,2,57,0.78,4,251,1,4,0,2,1
9217,36962041,Brooklyn,Williamsburg,40.70862,-73.94651,Private room,1,0,,1,0,0,12,0,1,1
28406,25330183,Queens,Sunnyside,40.73688,-73.91945,Private room,3,2,0.15,1,0,2,39,0,3,1
33996,202636642,Manhattan,Upper West Side,40.79485,-73.9755,Entire home/apt,3,28,3.31,1,158,1,8,1,2,0
41988,219517861,Manhattan,Financial District,40.70728,-74.01073,Entire home/apt,2,3,1.11,327,323,1,43,1,2,0
6849,25175433,Queens,Ridgewood,40.69958,-73.90825,Private room,3,0,,1,0,2,44,0,3,1
35312,29582232,Brooklyn,Flatbush,40.64184,-73.9642,Private room,2,42,3.96,5,47,0,22,0,1,1
31147,128217748,Brooklyn,Bedford-Stuyvesant,40.68524,-73.94427,Private room,1,85,5.6,3,317,0,6,0,1,1
10500,965061,Brooklyn,Williamsburg,40.71278,-73.96471,Private room,3,7,0.15,1,278,0,12,0,1,1
1387,2712353,Brooklyn,Cypress Hills,40.68375,-73.87065,Private room,28,88,1.05,4,326,0,84,0,1,1
522,915640,Brooklyn,Crown Heights,40.66788,-73.94813,Entire home/apt,4,90,0.94,1,56,0,15,1,1,0
13575,47554473,Brooklyn,Greenpoint,40.7276,-73.94495,Entire home/apt,3,29,0.7,13,50,0,20,1,1,0
5310,3339701,Queens,Ditmars Steinway,40.77376,-73.91855,Private room,1,207,3.48,4,311,2,49,0,3,1
47960,185352365,Brooklyn,Greenpoint,40.72214,-73.94566,Entire home/apt,2,0,,1,12,0,20,1,1,0
35763,30735525,Brooklyn,Bushwick,40.68467,-73.91341,Private room,2,7,0.96,1,36,0,21,0,1,1
39810,193626078,Bronx,Belmont,40.85222,-73.89277,Entire home/apt,1,10,1.52,3,322,4,182,1,0,0
33375,109040481,Manhattan,Hell's Kitchen,40.75825,-73.98982,Private room,1,54,4.34,1,341,1,7,0,2,1
41592,22720650,Manhattan,West Village,40.73674,-74.00556,Entire home/apt,30,0,,2,309,1,11,1,2,0
40870,56656728,Manhattan,Financial District,40.71115,-74.00834,Entire home/apt,3,12,2.2,5,107,1,43,1,2,0
39305,51908924,Brooklyn,Crown Heights,40.67471,-73.9616,Entire home/apt,3,2,0.32,1,19,0,15,1,1,0
47172,103716352,Brooklyn,Sunset Park,40.64699,-74.0156,Private room,1,0,,1,28,0,79,0,1,1
11397,10549906,Brooklyn,Clinton Hill,40.68313,-73.96165,Entire home/apt,1,54,1.19,1,365,0,3,1,1,0
15171,64967307,Brooklyn,Williamsburg,40.71334,-73.96056,Private room,1,0,,1,0,0,12,0,1,1
20094,69545883,Manhattan,Midtown,40.75368,-73.97358,Private room,3,2,0.08,12,365,1,1,0,2,1
3817,11747009,Manhattan,Theater District,40.76096,-73.98646,Entire home/apt,2,1,0.02,1,0,1,71,1,2,0
11825,47886371,Brooklyn,Midwood,40.62402,-73.97071,Private room,1,1,0.02,1,0,0,117,0,1,1
41872,239139334,Queens,Bayside,40.76898,-73.78855,Private room,1,7,3.18,3,244,2,112,0,3,1
45745,133996326,Manhattan,Flatiron District,40.74312,-73.98977,Entire home/apt,1,5,4.29,1,354,1,50,1,2,0
34165,75405696,Manhattan,Midtown,40.75316,-73.97241,Entire home/apt,6,2,0.31,1,48,1,1,1,2,0
27723,152636597,Bronx,Mott Haven,40.81039,-73.92478,Private room,1,1,0.08,1,0,4,98,0,0,1
19698,39890192,Manhattan,Hell's Kitchen,40.76399,-73.98971,Entire home/apt,45,16,0.52,12,345,1,7,1,2,0
24132,136300414,Queens,East Elmhurst,40.75765,-73.89725,Entire home/apt,1,62,3.01,1,336,2,103,1,3,0
12865,10487850,Manhattan,Midtown,40.75287,-73.96708,Entire home/apt,1,0,,1,0,1,1,1,2,0
48315,11386608,Brooklyn,Bedford-Stuyvesant,40.69265,-73.93201,Private room,9,0,,1,179,0,6,0,1,1
23214,32209352,Brooklyn,Bushwick,40.69573,-73.91376,Private room,2,17,1.21,2,349,0,21,0,1,1
44853,48978249,Queens,Flushing,40.75549,-73.82243,Shared room,1,0,,2,72,2,37,2,3,2
37521,864766,Brooklyn,Park Slope,40.66912,-73.97493,Entire home/apt,5,6,0.74,1,0,0,16,1,1,0
6453,11708876,Brooklyn,Williamsburg,40.7114,-73.96293,Private room,1,0,,1,0,0,12,0,1,1
13500,33480709,Brooklyn,Crown Heights,40.67114,-73.93561,Shared room,1,0,,1,0,0,15,2,1,2
5408,12348871,Brooklyn,Kensington,40.64487,-73.97895,Private room,1,74,1.26,2,21,0,0,0,1,1
43216,160940380,Queens,St. Albans,40.69967,-73.75026,Entire home/apt,2,2,1.58,3,332,2,85,1,3,0
16988,77076962,Brooklyn,Bushwick,40.70286,-73.92271,Private room,2,6,0.16,1,0,0,21,0,1,1
12016,33281828,Manhattan,Midtown,40.74966,-73.98781,Entire home/apt,4,2,0.05,1,0,1,1,1,2,0
514,279078,Brooklyn,Bedford-Stuyvesant,40.69242,-73.95097,Entire home/apt,2,187,1.97,2,287,0,6,1,1,0
7065,26301893,Queens,Forest Hills,40.71158,-73.85273,Private room,1,12,0.35,1,59,2,63,0,3,1
8616,34690679,Manhattan,East Harlem,40.79601,-73.93454,Private room,2,0,,1,0,1,4,0,2,1
17894,77498973,Manhattan,Harlem,40.80266,-73.95792,Entire home/apt,1,41,1.13,1,8,1,2,1,2,0
24165,9831730,Brooklyn,Williamsburg,40.71863,-73.94405,Entire home/apt,14,0,,1,0,0,12,1,1,0
983,1970839,Manhattan,Flatiron District,40.74125,-73.98862,Entire home/apt,7,0,,1,0,1,50,1,2,0
5060,12306481,Queens,Sunnyside,40.74493,-73.91528,Entire home/apt,30,10,0.28,3,332,2,39,1,3,0
41394,137358866,Queens,Woodside,40.74259,-73.91193,Private room,30,1,0.58,103,239,2,31,0,3,1
24924,141615596,Bronx,Parkchester,40.83805,-73.85867,Shared room,1,18,0.78,2,342,4,133,2,0,2
25944,12147356,Brooklyn,Greenpoint,40.73227,-73.95149,Entire home/apt,3,20,0.92,1,313,0,20,1,1,0
28447,161268152,Brooklyn,Clinton Hill,40.6838,-73.96176,Entire home/apt,1,42,2.25,2,308,0,3,1,1,0
41730,12198291,Manhattan,Chelsea,40.74458,-74.00644,Shared room,1,0,,1,0,1,14,2,2,2
28359,42051399,Manhattan,Harlem,40.82932,-73.94563,Entire home/apt,30,0,,1,89,1,2,1,2,0
23683,133843931,Brooklyn,Greenpoint,40.72675,-73.9554,Private room,1,58,2.34,2,152,0,20,0,1,1
26010,146030957,Queens,Astoria,40.77028,-73.92112,Private room,5,20,0.89,1,16,2,56,0,3,1
45742,15537429,Manhattan,East Village,40.7281,-73.97807,Entire home/apt,2,0,,3,69,1,19,1,2,0
47372,24294179,Queens,Ridgewood,40.70084,-73.90843,Private room,1,2,2.0,1,17,2,44,0,3,1
30873,43275413,Manhattan,Midtown,40.7464,-73.97987,Entire home/apt,2,18,1.22,1,4,1,1,1,2,0
12588,50006995,Brooklyn,Bushwick,40.7005,-73.92814,Entire home/apt,1,1,0.02,1,0,0,21,1,1,0
37295,155027850,Brooklyn,Bergen Beach,40.61954,-73.91133,Entire home/apt,5,17,2.24,1,305,0,189,1,1,0
531,48599,Manhattan,Chelsea,40.74033,-74.00024,Entire home/apt,6,23,0.27,2,0,1,14,1,2,0
47469,127927020,Brooklyn,Crown Heights,40.67442,-73.92949,Private room,1,4,4.0,3,364,0,15,0,1,1
43729,219517861,Manhattan,Financial District,40.70761,-74.01078,Entire home/apt,2,3,1.11,327,340,1,43,1,2,0
5183,19131844,Brooklyn,Bedford-Stuyvesant,40.68237,-73.94811,Entire home/apt,8,17,0.42,1,0,0,6,1,1,0
4692,16641600,Brooklyn,Sunset Park,40.66294,-73.99675,Entire home/apt,12,8,0.13,2,7,0,79,1,1,0
14517,4422962,Brooklyn,Bedford-Stuyvesant,40.67834,-73.92442,Entire home/apt,30,155,3.97,1,281,0,6,1,1,0
5384,18260299,Brooklyn,Bushwick,40.69439,-73.90715,Private room,30,7,0.74,6,92,0,21,0,1,1
41077,239517667,Brooklyn,Williamsburg,40.71007,-73.95136,Entire home/apt,2,20,3.73,1,61,0,12,1,1,0
27375,65824474,Manhattan,Upper West Side,40.79307,-73.97449,Entire home/apt,1,2,0.1,1,0,1,8,1,2,0
42866,239660813,Manhattan,Hell's Kitchen,40.76019,-73.99524,Private room,1,0,,10,314,1,7,0,2,1
148,72014,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,3,200,1.86,4,262,0,12,0,1,1
35237,52310314,Manhattan,Murray Hill,40.74775,-73.98226,Private room,1,13,1.27,1,2,1,5,0,2,1
24423,136049464,Brooklyn,Bedford-Stuyvesant,40.69277,-73.94315,Private room,2,11,0.47,1,5,0,6,0,1,1
21557,3236595,Manhattan,Harlem,40.80754,-73.95151,Private room,2,68,2.35,4,1,1,2,0,2,1
43022,3400827,Manhattan,Upper West Side,40.79595,-73.97485,Entire home/apt,3,2,0.74,1,0,1,8,1,2,0
34313,205032591,Brooklyn,Bedford-Stuyvesant,40.68589,-73.94762,Private room,2,21,2.04,4,334,0,6,0,1,1
37994,107434423,Manhattan,Upper East Side,40.77196,-73.95175,Entire home/apt,30,0,,232,157,1,28,1,2,0
3187,3158364,Queens,Sunnyside,40.73673,-73.92526,Private room,5,70,2.23,4,250,2,39,0,3,1
11952,1516920,Brooklyn,Greenpoint,40.73274,-73.95505,Private room,1,10,0.22,2,0,0,20,0,1,1
6852,14289427,Manhattan,Chinatown,40.71579,-73.99253,Private room,5,8,0.15,3,318,1,9,0,2,1
2569,7027562,Queens,Queens Village,40.72512,-73.73986,Private room,1,5,0.07,1,363,2,61,0,3,1
17472,46644337,Brooklyn,Bedford-Stuyvesant,40.68398,-73.94101,Entire home/apt,2,113,3.08,3,262,0,6,1,1,0
1623,15145088,Manhattan,Upper West Side,40.78747,-73.97238,Entire home/apt,30,8,0.1,8,346,1,8,1,2,0
15242,65527002,Manhattan,Upper West Side,40.7961,-73.963,Private room,1,60,2.91,1,188,1,8,0,2,1
35142,3968209,Manhattan,SoHo,40.72099,-73.99921,Private room,3,8,0.81,2,361,1,27,0,2,1
47301,7073540,Brooklyn,Red Hook,40.68002,-74.0055,Entire home/apt,2,0,,1,79,0,123,1,1,0
31255,19866189,Queens,Arverne,40.58906,-73.79503,Private room,1,0,,5,364,2,106,0,3,1
9207,36935244,Queens,Arverne,40.5927,-73.7899,Entire home/apt,2,89,1.82,1,300,2,106,1,3,0
